問題識別碼,描述,狀態,嚴重性,故事點,專案路徑,位置種類,路徑,行,資料行,事件識別碼,說明連結,組件名稱,組件版本,組件公開金鑰,程式碼片段
Project.0002,必須變更專案的目標架構,Active,Mandatory,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,,,,,,,,目前的目標架構: net9.0 建議的目標架構: net10.0
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,18,4,T:System.Uri,,,,,"internal sealed record TranslationResponse(          string ProviderId,          string ProviderDisplayName,          string SourceLanguage,          string TargetLanguage,          string SourceText,          IReadOnlyList<TranslationEntry> Entries,          Uri? WebUri = null);"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,25,8,T:System.Uri,,,,,Uri? WebUri = null
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,25,8,T:System.Uri,,,,,Uri? WebUri = null
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,25,8,T:System.Uri,,,,,Uri? WebUri = null
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,18,4,T:System.Uri,,,,,"internal sealed record TranslationResponse(          string ProviderId,          string ProviderDisplayName,          string SourceLanguage,          string TargetLanguage,          string SourceText,          IReadOnlyList<TranslationEntry> Entries,          Uri? WebUri = null);"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Models\TranslationModels.cs,18,4,T:System.Uri,,,,,"internal sealed record TranslationResponse(          string ProviderId,          string ProviderDisplayName,          string SourceLanguage,          string TargetLanguage,          string SourceText,          IReadOnlyList<TranslationEntry> Entries,          Uri? WebUri = null);"
Api.0002,原始檔與選取的 .NET 版本不相容,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\TranslatorHttpClient.cs,27,12,M:System.TimeSpan.FromSeconds(System.Int64),,,,,"HttpClient client = new(policyHandler)              {                  Timeout = TimeSpan.FromSeconds(30),              };"
Api.0002,原始檔與選取的 .NET 版本不相容,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\TranslatorHttpClient.cs,18,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"IAsyncPolicy<HttpResponseMessage> retryPolicy = HttpPolicyExtensions                  .HandleTransientHttpError()                  .WaitAndRetryAsync(2, retryAttempt => TimeSpan.FromSeconds(Math.Pow(2, retryAttempt)));"
Api.0003,選取的 .NET 版本中的行為變更,Active,Potential,1,CmdPalTranslator.Core\CmdPalTranslator.Core.csproj,File,CmdPalTranslator.Core\Providers\GoogleTranslatorProvider.cs,86,8,T:System.Uri,,,,,public Uri BuildWebUri(ParsedTranslationQuery query)
